PLU,ARTICLE,ARTICLE DESCRIPTION,PRICE
998,1419225,CBTL ADD CHOCOLATE SAUCE,50
999,1419226,CBTL ADD CARAMEL,50
1003,1357710,CARDINAL CHEDDAR WITH CHILLIES 1.2KG,4700
1004,1355152,ARLA MOZZARELLA CHEESE 2.3KG,2900
1006,1355186,CANZONA BLUE CHEESE WHEEL 3KG,2300
1008,1357709,CARDINAL CHEDDAR APPLEWOOD SMOKEY1.2KG,4700
1011,1340048,DODONI FETA 1KG,5100
1012,1360569,CASTELLO DANISH BLUE WHEEL 3.5 KG,3300
1014,1355187,CHEESE INGREDIENT EMMENTAL 3.5KG,2800
1018,1357715,COLLIERS CHEDDAR BLOCK WHITE 2.5KG,2575
1019,1357716,COLLIERS CHEDDAR BLOCK YELLOW 2.5KG,2480
1021,1360570,COLLIERS MONTEREY JACK 5KG,2700
1022,1357719,COLLIERS PEPPER JACK 2.5KG,4000
1023,1357720,COLLIERS RED LEICESTER 2.5KG,3500
1024,1355183,DAIRYLAND MOZZARELLA CHEESE 2.3KG,2070
1026,1361315,DODONI FETA 2KG,3600
1030,1357893,WESTZANER GOUDA WHEEL WITH WASABI 5KG,4032
1031,1360571,FF BLUE STILTON RINGS 1.5KG,1030
1032,1357891,WESTZANER GOUDA WHEEL OLIVE TOMATO 5KG,3562
1035,1360573,FF DORSET RED SMOKED CHEDDAR 1.2KG,8400
1036,1357889,WESTZANER GOUDA WHEEL BLK GRN PEPPER 5KG,3562
1037,1357749,FF DOUBLE GLOUCESTER SPRING ONION 1.2KG,8400
1039,1357752,FF FARMERS FIVE WHEEL 2.4KG,6100
1040,1355241,WESTZANER GOUDA WHEEL YOUNG CHEESE 5KG,2509
1042,1357745,FF COASTAL MATURED WHITE CHEDDAR 1KG,5000
1043,1357892,WESTZANER GOUDA WHEEL WITH TRUFFLE 5KG,4990
1044,1357760,FF MATURED WHITE CHEDDAR BLOCKS 5KG,3500
1046,1360574,FF MILD WHITE CHEDDAR BLOCKS 5KG,3400
1047,1360575,FF OAKWOOD SMOKED CHEDDAR 1.2KG,8400
1048,1357739,FF CHEDDAR W FINEST BLACK TRUFFLES1.20KG,8400
1049,1357767,FF SAGE DERBY BLOCK 1.2KG,6100
1051,1357769,FF WENSLEYDALE WITH CRANBERRIES 1.2KG,8400
1052,1357735,FF CAVE AGED WEST CNTRY CHDAR BLOCK 3.3K,3200
1053,1357906,FF CHEDDAR WITH CARAMELISED ONION 1.20KG,6100
1054,1419227,CBTL ADD WHIPPED CREAM,50
1056,1419228,CBTL ADD CHOCOLATE ESPRESSO BEAN,50
1057,1357775,FORVAL TGT MANCHEGO 3 KGS,6100
1060,1419229,CBTL EXTREAM IT,50
1061,1419230,CBTL NSA ENGLISH BREAKFAST LATTE RE,270
1062,1419231,CBTL NSA CHAI LATTE REGULAR,270
1063,1357907,FF FARMHOUSE CHEDDAR BLOCKS 1.10 KG,4800
1066,1357783,LANDANA EDAM BALL 1.9KG,2593
1067,1357795,HOLLAND KROON EDAM 1.9KG,2200
1068,1419232,CBTL NSA ASSAM TEA LATTE REGULAR,270
1069,1419233,CBTL NSA MORROCHAN MINT REGULAR,270
1070,1419234,CBTL NSA TROPICAL PASSION LATTE REGULAR,270
1072,1419235,CBTL NSA DOUBLE VANILLA REGULAR,270
1073,1357884,WESTMINSTER MILD WHITE CHEDDAR 2.5KG,2200
1074,1419236,CBTL NSA TROPICAL PASSION LATTE LARGE,290
1075,1419237,CBTL NSA DOUBLE VANILLA LARGE,290
1076,1357882,WESTMINSTER MILD COLORED CHEDDAR 2.5KG,2200
1078,1419238,CBTL NSA CHAI LATTE LARGE,290
1079,1357782,LANDANA EMMENTHAL 3KG,3700
1080,1419239,CBTL NSA ASSAM TEA LATTE LARGE,290
1081,1419240,CBTL NSA ENGLISH BREAK FAST LATTE LARGE,290
1082,1357812,LANDANA GOUDA WITH OLIVES N TOMATO 4.5KG,6100
1083,1419241,CBTL NSA MOROCCAN MINT LARGE,290
1084,1357796,HOLLAND KROON GOUDA MILD PREMDUTCH 4.5KG,2200
1085,1419242,CBTL NSA CARAMEL LATTE LARGE,350
1086,1419243,CBTL NSA VANILLA LATTE REGULAR,300
1087,1357814,LANDANA GOUDA WITH WILD GARLIC 4.5KG,4500
1088,1419244,CBTL NSA MOCHA LATTE REGULAR,300
1089,1419245,CBTL NSA VANILLA LATTE LARGE,330
1090,1355150,LE SUPERB EMMENTAL CHEESE 4 KG,5385
1091,1419246,CBTL NSA CARAMEL LATTE REGULAR,320
1092,1419247,CBTL NSA HOT CHOCOLATE REGULAR,270
1093,1355243,FF CAVE AGED GOAT CHEESE BLOCK 1.1KG,4950
1095,1419248,CBTL NSA HOT VANILLA REGULAR,270
1096,1355141,HOLLAND KROON SMOKED PROC CHEESE 2.7 KG,3301
1097,1357810,LANDANA GOUDA CHILLI SAMBAL 4.5KG,3564
1098,1355184,OLYMPUS ALBA GREEK WHITE CHEESE COW 2KG,1600
1099,1357813,LANDANA GOUDA WITH WHOLE MUSTARD 4.5KG,6100
1101,1357815,LANDANA PREMIUM DUTCH GOUDA 4.5KG,2784
1102,1355151,LE SUPERB RACLETTE CHEESE 5KG,5500
1107,1419249,CBTL NSA HOT CHOCOLATE LARAGE,300
1117,1419250,CBTL NSA HOT VANILLA LARGE,300
1121,1419251,CBTL CAPPUCCINO IB SML,330
1122,1419252,CBTL CAPPUCCINO IB REGULAR,360
1123,1419253,CBTL MOCHA IB REGULAR,330
1124,1357855,SINGLETONS BLUE STILTON 4KG,3200
1125,1357965,AMATRICE PECORINO WITH PINE NUTS 3KG,6500
1126,1357856,SINGLETONS CHEDDAR FARMHOUS CHEDAR 4.5KG,2700
1127,1357857,SINGLETONS CHEDDAR JALAPENO BLOCKS 1.1KG,4500
1128,1357861,SINGLETONS CHEDDAR RED MILD 4.5KG,2125
1129,1357862,SINGLETONS CHEDDAR WHITE MILD 4.5KG,2700
1130,1357863,SINGLETONS DOUBLE GLOUCESTER BLOCK 2.5KG,1919
1131,1371276,SFP RAW DUCK KG,899
1133,1357864,SINGLETONS MONTERREY JACK 4.5KG,2700
1137,1382197,CHILLIES HABENORA RED IMPORTED,3699
1139,1382199,CARROT BABY IMPORTED,4699
1141,1356072,CAPELLA CHICKEN CHILLI KILO 3KG,1000
1150,1356074,CAPELLA CHICKEN HAM COLD CUT KILO 3KG,1000
1151,1356294,CAPELLA CHICKEN LEMON PEPPER KILO 3KG,1000
1152,1364735,ALF FARM HONEY ROAST CHICKEN 2 TO 3 KGS,899
1153,1357877,VIRGILIO GRANA PADANO 4.5KG,4000
1162,1355242,WESTZANER GOAT WHEEL YOUNG CHEESE 5KG,4928
1163,1357896,ZANETTI FONTAL 3KG,3400
1164,1357897,ZANETTI GORGONZOLA 1.5 KILO,3100
1165,1357898,ZANETTI GRAN SPICCO 4.5KG,3800
1166,1357899,ZANETTI GRANA PADANO 4.5 KILO,2950
1167,1357900,LE SUPERBE SWISS GRUYERE TRINGLE 2.5KG,2860
1168,1357902,ZANETTI PARMIGIANO REGGIANO 4.55 KILO,4500
1170,1357903,ZANETTI PECORINO ROMANO 3KG,6300
1171,1357904,ZANETTI PROVOLONE DOLCE MILD 5 KGS,4000
1176,1419254,CBTL CINNAMON IB SML,300
1186,1355261,HIMALAYAN YAK GUMDEL CHEESE 1.2KG,3999
1187,1355262,HIMLAYAN RACLETTE CHEESE 1.2KG,3199
1188,1355249,HIMALAYAN FRENCH TOMME CHEESE,2310
1190,1364361,APPLE PINK LADY,419
1223,1419255,CBTL CINNAMON IB REGULAR,330
1278,1419256,CBTL CARAMEL IB SML,320
1279,1419257,CBTL CARAMEL IB REGULAR,350
1280,1419258,CBTL HAZELNUT IB SML,320
1281,1419259,CBTL HAZELNUT IB REGULAR,350
1282,1419260,CBTL COOKIE & CREAM IB SML,330
1283,1419261,CBTL COOKIE & CREAM IB REGULAR,360
1289,1419262,CBTL WHITE CHOCOLATE IB SML,300
1290,1419263,CBTL WHITE CHOCOLATE IB REGULAR,330
1292,1419264,CBTL DOUBLE CHOCOLATE IB SML,300
1293,1419265,CBTL DOUBLE CHOCOLATE IB REGULAR,330
1297,1419266,CBTL VANILLA IB REGULAR,330
1299,1419267,CBTL VANILLA IB SML,300
1304,1419268,CBTL MOCHA IB SML,300
1305,1403722,NATURES BABY CORN 200G,75
1362,1419270,CBTL ULTIMATE VANILLA IB REGULAR,360
1370,1365235,BOTTLE GOURD ORGANIC 1,89
1373,1419271,CBTL ULTIMATE VANILLA IB SML,330
1376,1419272,CBTL ULTIMATE MOCHA IB REGULAR,360
1377,1419273,CBTL PURE VANILLA IB SML,300
1387,1419274,CBTL PURE VANILLA IB REGULAR,330
1397,1419275,CBTL PURE CHOCOLATE IB SML,300
1407,1365397,CAPSICUM GREEN ORGANIC,149
1411,1419276,CBTL PURE CHOCOLATE IB REGULAR,330
1413,1419277,CBTL PURE CARAMEL IB SML,320
1414,1372558,BAMBOO SHOOT NB,499
1415,1419278,CBTL PURE CARAMEL IB REGULAR,350
1416,1419279,CBTL PURE WHITE CHOCOLATE SML,300
1417,1419280,CBTL PURE DOUBLE CHOCOLATE IB SML,300
1418,1419281,CBTL PURE DOUBLE CHOCOLATE IB REGULAR,330
1419,1419282,CBTL PURE WHITE CHOCOLATE REGULAR,330
1420,1371990,LETTUCE LOLOROSSO,499
1422,1419283,CBTL PURE COOKIE & CREAM IB SML,330
1424,1419284,CBTL PURE COOKIE & CREAM IB REGULAR,360
1425,1419285,CBTL PURE HAZELNUT SML,320
1428,1419286,CBTL PURE HAZELNUT REGULAR,350
1430,1419287,CBTL ICED HAZELNUT AMERICANO REGULAR,330
1431,1419288,CBTL ICED HAZELNUT AMERICANO SML,300
1432,1419289,CBTL ICED CARAMEL MACCHIATO SML,300
1434,1419290,CBTL ICED CARAMEL MACCHIATO REGULAR,330
1436,1419291,CBTL ICED CAPPUCCINO SML,270
1437,1419292,CBTL ICED CAPPUCCINO REGULAR,300
1438,1419293,CBTL ICED CHAI TEA LATTE REGULAR,290
1439,1419294,CBTL ICED BLACK COFFEE REGULAR,280
1440,1419295,CBTL ICED CHAI TEA LATTE SML,270
1441,1419296,CBTL ICED ENGB`FAST TEA LATTE REGULAR,290
1544,1365348,KUMQUOTES IMPORTED,2999
1546,1364371,PEAS SNOW IMPORTED,1499
1547,1419297,CBTL ICED ENGB`FAST TEA LATTE SML,270
1548,1419298,CBTL ICED BLACK COFFEE SML,250
1549,1419299,CBTL ICED MOROCAN MINT TEA LATTE REGULAR,290
1550,1365390,TOMATO VINE RED BIG IMPORTED,2999
1551,1419300,CBTL ICED CAFE LATTE REGULAR,300
1552,1419301,CBTL ICED CAFE LATTE SML,270
1557,1419302,CBTL ICED MOROCAN MINT TEA LATTE SML,270
1562,1419303,CBTL ICED MOCHA LATTE REGULAR,330
1563,1419304,CBTL ICE TROPICL PASSION TEA LATTE REGLR,290
1612,1365383,COCONUT TENDER 1,79
1665,1419305,CBTL ICED MOCHA LATTE SML,330
1669,1419306,CBTL ICED VANILLA LATTE REGULAR,330
1671,1419307,CBTL ICED VANILLA LATTE SML,300
1674,1419308,CBTL ICED ASSAM TEA LATTE REGULAR,290
1679,1365284,CHILY GREEN ORGANIC,269
1680,1419309,CBTL ICED CARAMEL LATTE REGULAR,350
1691,1419310,CBTL ICED ASSAM TEA LATTE SML,270
1699,1419311,CBTL ICED CARAMEL LATTE SML,320
1700,1419312,CBTL ICE DOUBLE VANILLA TEA LATTE REGLR,290
1706,1419313,CBTL ICED HAZELNUT LATTE REGULAR,350
1727,1419314,CBTL ICED HAZELNUT LATTE SML,320
1728,1419315,CBTL ICE DOUBLE VANILLA TEA LATTE SML,270
1730,1419316,CBTL SWEDISH BERRY IT SML,250
1735,1419317,CBTL ICE TROPICL PASSION TEA LATTE SML,270
1736,1419318,CBTL SWEDISH BERRY IT REGULAR,280
1754,1419319,CBTL SOUTHERN BLEND IT SML,250
1756,1419320,CBTL SOUTHERN BLEND IT REGULAR,280
1757,1365401,DRUMSTICK CUT FRESH,69
1758,1419321,CBTL ICED TEA OF THE DAY SML,250
1759,1419322,CBTL ICED WHITE CHOCOLATE LATTE REGULAR,330
1760,1365371,GINGER GARLIC CHOPPED,49
1761,1365295,GREEN PEAS PEELED,119
1762,1419323,CBTL ICED TEA OF THE DAY REGULAR,280
1764,1365427,EDAMAME FRESH,999
1765,1419324,CBTL ICED WHITE CHOCOLATE LATTE SML,300
1766,1419325,CBTL LEMON ICED DRINK SML,250
1767,1419326,CBTL ICED DOUBLE CHOCOLATE LATE SML,300
1768,1419327,CBTL LEMON ICED TEA REGULAR,280
1769,1419328,CBTL ICED DOUBLE CHOCOLATE LATE REGULAR,330
1771,1419329,CBTL PEACH ICED TEA SML,250
1772,1419330,CBTL PEACH ICED TEA REGULAR,280
1774,1364242,APPLE ROYAL GALA,449
1775,1419331,CBTL MANGO ICED TEA REGULAR,280
1776,1419332,CBTL MANGO ICE TEA SML,250
1777,1419333,CBTL NSA VANILLA IB SML,300
1803,1357952,EL PASTOR GOAT CHESE RINDLES FRESH 850G,3985
1806,1365301,GUAVA THAI INDIAN,219
1807,1419334,CBTL NSA VANILLA IB REGULAR,330
1808,1419335,CBTL NSA MOCHA IB REGULAR,330
1834,1419336,CBTL NSA CINNAMON IB SML,300
1836,1419337,CBTL NSA CINNAMON IB REGULAR,330
1842,1419338,CBTL NSA CARAMEL IB SML,320
1856,1372843,Fresh Chicken Tikka NB,0
1859,1363035,Fresh Dips,199
1862,1363038,Fresh Cut Fruits,99
1871,1365155,TOMATOES CHERRY FRESH HYDROPONIC,159
1893,1419339,CBTL NSA CARAMEL IB REGULAR,350
1895,1419340,CBTL NSA MOCHA IB SML,300
1897,1419341,CBTL NSA COOKIE & CREAM IB SML,330
1900,1368365,STRAWBERRY IMPORTED,3999
1902,1382178,ASPARAGUS PURPLE IMPORTED,3499
1904,1419342,CBTL NSA COOKIE & CREAM IB REGULAR,360
1922,1419343,CBTL NSA ULTIMATE MOCHA IB REGULAR,360
1923,1419344,CBTL NSA ULTIMATE MOCHA IB SML,330
1926,1419345,CBTL NSA ULTIMATE VANILLA IB REGULAR,360
1927,1419346,CBTL NSA ULTIMATE VANILLA IB SML,330
1928,1382183,CHERRY TOMATO ON VINE MIXED,3399
1929,1382184,CHILLIES HABENORA YELLOW IMPORTED,3699
1934,1419347,CBTL NSA PURE CARAMEL IB SML,320
1936,1419348,CBTL NSA PURE CHOCOLATE IB SML,300
1937,1419349,CBTL NSA PURE VANILLA IB SML,300
1938,1419350,CBTL NSA PURE CHOCOLATE IB REGULAR,330
1939,1419351,CBTL NSA PURE VANILLA IB REGULAR,330
1940,1419352,CBTL NSA PURE CARAMEL IB REGULAR,350
1942,1419353,CBTL NSA ICED CHAI LATTE REGULAR,290
1943,1419354,CBTL NSA ICED CHAI LATTE SML,270
1944,1419355,CBTL NSA ICED DBL VANILLA LATTE REGULAR,290
1945,1365416,MANGOSTEEN THAI,1599
1965,1419356,CBTL NSA ICED DBL VANILLA LATTE SML,270
1966,1419357,CBTL NSA ICED ENG-BFAST LATTE REGULAR,290
1967,1419358,CBTL NSA ICED ENG-BFAST LATTE SML,270
1968,1419359,CBTL NSA ICED MOROCN MINT LATTE REGULAR,290
1969,1419360,CBTL NSA ICED MOROCN MINT LATTE SML,270
1970,1419361,CBTL NSA ICED TROPL PASION LATE REGULAR,290
1971,1419362,CBTL NSA ICED TROPL PASSION LATTE,270
1972,1419363,CBTL NSA ASSAM TEA LATTE SML,270
1988,1367070,STIR FRY CONTINENTAL MIX,199
1991,1419364,CBTL NSA ICED ASSAM TEA LATTE REGULAR,290
1992,1367066,STIR FRY MUSHROOM,119
1994,1367064,PULAV BIRYANI MIX,119
1997,1419365,CBTL NSA ICED MOCHA LATTE SML,300
1998,1367084,MAKHANWALA MIX,119
1999,1419366,CBTL NSA ICED MOCHA LATTE REGULAR,330
2003,1365369,COCONUT CHUTNEY,99
2071,1419367,CBTL NSA ICED CARAMEL LATTE SML,320
2102,1419368,CBTL NSA ICED CARAMEL LATTE REGULAR,350
2103,1419369,CBTL NSA ICED VANILLA LATTE REGULAR,330
2104,1419370,CBTL NSA ICED VANILLA LATTE SML,300
2105,1419371,CBTL CLASSIC BIRCHER MUSSILI,263
2111,1419372,CBTL CREAMY MUSHROOM WITH HASH BROWN,263
2112,1419373,CBTL HASH BROWN WITH BAKED BEANS,263
2113,1419374,CBTL QUINOA POHA,315
2114,1419375,CBTL CBTL VEGGIE BIG BREAKFAST,420
2115,1419376,CBTL BAKED MASALA SCRAMBLE,273
2116,1419377,CBTL EGG FRIED CROISSANT,273
2117,1419378,CBTL FRIED EGG,273
2118,1419379,CBTL OMLETTE,273
2119,1419380,CBTL 3 EGG WHITE FLUFFY OMELETTE,273
2120,1419381,CBTL HAM AND CHEESE OMELETTE,273
2121,1419382,CBTL SAUSAGES AND MUSHROOM OMELETTE,273
2131,1419383,CBTL SMOKED CHICKEN SAUSAGES,315
2136,1419384,CBTL CHICKEN HAM,294
2156,1419385,CBTL CHICKEN MINCED OMELETTE,336
2157,1419386,CBTL CAESAR,294
2158,1419387,CBTL QUINOA SALAD,336
2159,1419388,CBTL SUMMER DELIGHT,336
2160,1419389,CBTL GRILLED CHICKEN & CHEESE,368
2161,1419390,CBTL PEPPER CHICKEN,315
2162,1419391,CBTL PESTO CHICKEN ROASTED PEPPER SALSA,315
2163,1419392,CBTL ROAST VEGETABLE WITH HUMMUS,357
2164,1419393,CBTL PEPPER COTTAGE CHEESE,336
2165,1419394,CBTL BOMBAY ALOO MASALA,336
2166,1419395,CBTL FUSILLI ARRABIATA,399
2167,1419396,CBTL SPGHETTI VEGGIE AGLIO OLIO BASILICO,399
2168,1419397,CBTL PENNE CHEESY CREAM MUSHROOM CBTL,399
2169,1419398,CBTL BAKED MINCE VEGETABLE,420
2170,1419399,CBTL PENNE CHICKEN TOMATO CREAM,399
2172,1419400,CBTL SPAGHETTI RST CHICKEN N PESTO CREAM,399
2173,1419401,CBTL GRILL CHICKEN THREE PEPPER SAUCE,473
2174,1419402,CBTL SPAGHETTI BOLOGNAISE,420
2175,1419403,CBTL SAUTE MUSHROOM,53
2177,1419404,CBTL CREAMY SPINACH,53
2178,1419405,CBTL HASH BROWN 2NOS,53
2179,1419406,CBTL ADD MUSHROOM,53
2181,1419407,CBTL CBTL ADD OLIVES,53
2182,1419408,CBTL ADD EXTRA CHEESE,53
2183,1419409,CBTL ADD VEGGIES,53
2184,1419410,CBTL ADD CHICKEN,74
2208,1365289,BUTTERNUT SQUASH IMPORTTED,1999
2218,1419411,CBTL ADD EGG,58
2219,1419412,CBTL ADD CHICKEN SAUSAGE,74
2220,1419413,CBTL ADD CHICKEN HAM,74
2221,1419414,CBTL ADD SOYA MILK,74
2223,1419415,CBTL ADD PANEER,74
2224,1419416,CBTL CHOCO ALMOND PROTEIN 32GM,74
2225,1419417,CBTL NUTTY APRICOT FIBER 32GM,45
2226,1380059,MELON MUSK PC,99
2227,1419418,CBTL ORG DARK CHOCOLATE VITAMIN C 32GM,45
2228,1365192,POTATO ORGANIC 1,49
2229,1419419,CBTL YOGHURTBERRY ANTIOXIDANTS 32GM,45
2232,1419420,CBTL BOTTLE WATER 500 ML,45
2235,1365207,GINGER ORGANIC,119
2236,1419421,CBTL BOTTLE WATER 500 ML,45
2269,1380070,KIWI GREEN PACK,159
2270,1355519,ALF FARMS CHICKEN ACHARI SEEKH KABAB KG,1600
2271,1384841,SPINACH DESI CLEANED BUNCH,39
2272,1384842,CORIANDER DESI CLEANED BUNCH,55
2273,1384843,METHI DESI CLEANED BUNCH,55
2293,1419573,NACTARINE IMPORTED,1599
2294,1419574,PEACH IMPORTED,1599
2295,1419575,APPLE PACIFIC QUEEN,549
2296,1419576,TOMATO BEAFSTEAK ASSORTED,199
2303,1419154,CBTL HONEY,50
2321,1368458,GRAPES RED GLOBE INDIAN,299
2323,1368426,LEMON GRASS HIGHFIELD,49
2325,1405134,MANGO DUSHERI,179
2331,1418854,TEA CULTURE CARAMEL PEACH LOOSE TEA,1540
2332,1418885,TEA CULTURE GO GUAVA LOOSE TEA,1500
2334,1418957,TEA CULTURE TROPICAL TREAT LOOSE TEA,1540
2335,1409314,BLUEBERRIES INDIAN 300GM,499
2346,1000934,MANGO KESAR KG,449
2352,1387253,NATURES MANGO ALPHONSO PREMIUM 1PC,125
2353,1387254,NATURES MANGO ALPHONSO 6 PC BOX,749
2354,1387255,NATURES MANGO ALPHONSO 12 PC BOX,1499
2439,1365345,PASSION FRUIT INDIAN,549
2472,1368445,POTATO BLUE PURPLE FRANCE,1999
2475,1365168,LETTUCE KALE CURLED,799
2478,1365406,MORNING GLORY,299
2480,1365362,ORANGE BLOOD,1599
2483,1365261,MANGO RAW,249
2496,1365307,GROUNDNUT,179
2596,1382206,GRAPES RED FLAME IMPORTED,1599
2597,1382207,ZUCCHINI GREEN IMPORTED,3999
2598,1382208,CHERIMOYA IMPORTED,2999
2601,1372548,MANGO BADAMI NB,199
2602,1368497,MANGO BANGANPALLI,349
2604,1365423,MANGO LALBAG SINDHURA,349
2605,1365425,MANGO TOTAPURI,259
2624,1365538,POMEGRANATE ARILS PICK ME,119
2634,1384840,MINT DESI CLEANED BUNCH,35
2645,1355145,ARLA PIZZA TOPPING CHEESE BLOCK 2.3KG,1700
2652,1357744,FF COASTAL M CHEDDAR W CHILI N LIME1.20K,8200
2669,1437166,MALAWI MANGO,225
2675,1437170,NORTH EAST MIZO CHILLI,99
2707,1358015,LANDANAÂ SMOKED CHEESE NATURAL 3KG,3100
2708,1358016,LANDANAÂ SMOKED CHEESE FINE HERBS 3KG,2593
2709,1358017,LANDANAÂ SMOKED CHEESE BLCK PEPPER 3KG,2593
2710,1355240,WESTZANER EDAM BALL YOUNG CHEESE 2KG,2509
2711,1360631,JACQUIN GOAT CHEVE NATURAL LOG 1KG,4200
2712,1360632,JACQUIN CHEVE GARLIC N HERBS LOG 1KG,4200
2713,1357890,WESTZANER GOUDA WHEEL NETTLE GARLIC 5KG,3562
2767,1368484,MANGO ALPHANSO AAMRAI,199
2769,1365158,AVOCADO INDIAN,599
2771,1370997,MANGOSTEIN,1199
2798,1365232,GARLIC ORGANIC,229
2907,1000935,MANGO LANGDA KG,209
2922,1365412,AVIYAL MIX,99
2923,1367088,LADY FINGER CUT,69
2929,1180030,FRENCH BEANS CUT,79
2930,1365330,FRIED RICE NOODLES MIX,109
2932,1365388,SAMBHAR MIX,109
2937,1365312,BROCCOLI FLORETS,149
2938,1365396,GARLIC CHOPPED,49
2939,1365405,GINGER CHOPPED,49
2940,1365385,GREEN MASALA MIX,69
2941,1365373,VEG KORMA MIX,99
2944,1382758,PEARS PACKHAM IMPORTED,349
2947,1382761,PEARS BEAUTY IMPORTED,499
2962,1364400,TAMARIND SWEET IMP 250 G NB,140
2963,1365205,PEAR GREEN INDIAN,459
2965,1365213,PAK CHOI BABY,399
3014,1355510,ALF FARM CHICKEN CHEESE SALAMI 1.8 KG,1330
3015,1355536,ALF FARM CHICKEN CHILLY SALAMI KG,1130
3016,1355509,ALF FARM CHICKEN COPATA 1.8 KG,1090
3017,1355537,ALF FARM CHICKEN LEMON PEPPER SALAMI KG,890
3018,1355511,ALF FARM CHICKEN PEPPERY LOAF 1.8 KG,1110
3030,1355507,ALF FARM PORK SALAMI WITH PEPPERON 1.8KG,1700
3033,1364736,Alf Farm Raw Turkey 5 to 7Kg,1199
3034,1364737,ALF FARM ROAST N STUF CHICKEN 2 TO 3 KGS,999
3035,1364738,ALF FARM SMOKED N STUFF TURKEY 3.5 TO 4,1699
3039,1355506,ALF FARM TURKEY HAM WITH PEPPERS 1.8 KG,1700
3041,1355505,ALF FARM TURKEY SMOKED HAM 2 KG,1700
3043,1355521,ALF FARMS CHICKEN GALAWAT SEEKH KABABKG,1600
3044,1355522,ALF FARMS CHICKEN NAWABI SEEKH KABAB KG,1600
3045,1355520,ALF FARMS CHICKEN PAHADI SEEKH KABAB KG,1600
3046,1355523,ALF FARMS CHKN MALAICHESE SEEKH KABABKG,1600
3049,1356115,BAUWENS BBQ PREMIUM SMOKED HAM 5.5KG,5000
3050,1356075,BAUWENS BBQ SHOULDER HAM 4 KILO,4000
3057,1356161,BAUWENS SMOKED BREAKFAST HAM 3KG,2230
3058,1356083,BAUWENS TRADTIONAL HONEY ROASTED HAM 5KG,5000
3059,1356078,BAUWENS US STYLE RINDLESS BACON 3.5KG,4000
3074,1364921,Alf Farm Raw Duck 2 to 3Kg,999
3076,1364922,Alf Farm Smkd Roasted Duck 1 to 2Kg,1299
3078,1364923,Alf Farm Smkd or Roasted Turkey 2 to 3Kg,1699
3092,1350231,MODERN CURD POUCH 1 KG,70
3100,1361317,MODERN MALAI PANEER 1 KG,300
3125,1356088,DAUTORE PARMA HAM HALF DEBONED16 18M 3KG,7000
3129,1356091,Espina Salami Cured 1.7KG,5000
3145,1355332,EURIAL GOAT CHEESE PLAIN 1KG,6300
3146,1355334,EURIAL GOAT CHEESE ASH 1KG,6300
3147,1355336,EURIAL GOAT CHEESE GARLIC N HERBS 1KG,6300
3148,1355338,EURIAL GOAT CHEESE WITH HONEY 1KG,6300
3149,1355352,EURIAL SOFT GOAT CHEESE BRIE 1KG,3400
3150,1357961,AMATRICE PECORINO W BLACK TRUFFLES 3KG,6500
3151,1357962,AMATRICE PECORINO WITH SAFFRON 3KG,6500
3152,1357963,AMATRICE PECORINO WITH PISTACHIO 3KG,6500
3153,1357964,AMATRICE PECORINO WITH ALMOND 3KG,6500
3204,1357924,GRANDMA BLACK PEPPER CHEDDAR BLOCK 1.1KG,4600
3205,1357925,GRANDMA CHEDDAR WITH SRIRACHA 1.1KG,4500
3206,1355281,GRANNDMA CHEESE CHEDDAR OAK SMOKED 1.1KG,4500
3207,1355282,GRANDMA CHEESE CHEDDAR CRANBERRY 1.1KG,4500
3208,1357926,GRANDMA CHEDDAR WENSL MAN N GINGR 1.1KG,4600
3215,1357930,AGRIFORM GRANA PADANO BLOCK 4.5KG,2500
3216,1357931,AGRIFORM PARMIGIANO REGGIANO BLOCK 4.5KG,4300
3217,1357932,AGRIFORM RETINATO BLOCK 4.5KG,2400
3218,1355286,AGRIFORM ITALIAN HARD CHEESE BLOCK 4.5KG,2100
3219,1355287,FLECHARD CREAM CHEESE 2KG,1600
3267,1382190,ONION SHALLOTS IMPORTED,1999
3399,1356214,GREISINGER SAUNA HAM LEAN 2.6KG,4000
3400,1356160,GREISINGER SAUNATURKEY BREASTROLLLEAN3KG,8000
3431,1355403,PRASUMA CHICKEN CHILLI SALAMI KG,1400
3435,1355406,PRASUMA CHICKEN HAM KG,1110
3443,1355408,PRASUMA CHICKEN PAPRICA LYONER KG,1110
3444,1355409,PRASUMA CHICKEN PEPPER LYONER KG,1500
3446,1355401,PRASUMA CHICKEN SALAMI KG,1700
3463,1355415,PRASUMA PRIME HAM PORK KG,2230
3467,1355416,PRASUMA SMOKED HAM PORK KG,2500
3505,1357683,SANT DALMAI COOKD TURKEY BREASTFILT2.5KG,4000
3507,1356133,SANT DALMAI COOKED HAM EXTRA SMOKED5.2KG,4000
3509,1357662,SANT DALMAI ROASTED TURKEY BREAST 3KG,4000
3510,1356299,SANT DALMAI SHOULDER SANDWICH HAM 3KG,3000
3513,1357663,SANT DALMAI TURKEY SANDWICH 3KG,3000
3527,1360953,FIRANGI FOODS TENDERLOIN KG,1405
3554,1355420,ZORABIAN CHICKEN WHOLE WITH SKIN 1.2KG,290
3559,1272755,PRASUMA PRIME TENDERLOIN,2400
3697,1365146,NATURES STRAWBERRY PUNNET,139
3716,1365393,HANUMAN PHAL,279
3722,1364502,MELON JAPAN,1299
3723,1364486,LIME MAKROOT IMPORTED,1499
