PLU,ARTICLE,ARTICLE DESCRIPTION,PRICE
172,1364302,GRAPE FRUIT IMPORTED,449
173,1418904,TEA CULTURE KEEMUM LOOSE TEA,2550
174,1418905,TEA CULTURE KICKSTART LOOSE TEA,1550
175,1418906,TEA CULTURE KUDING LOOSE TEA,1870
177,1418907,TEA CULTURE LAPSANG SOUCHONG LOOSE TEA,3000
178,1418908,TEA CULTURE LEMON DEMON LOOSE TEA,1330
179,1365266,COW PEA CHAULI,99
180,1418909,TEA CULTURE LEMON GRASS CTC LOOSE TEA,2200
181,1365156,GRAPES RED GLOBE IMPORTED,549
183,1418910,Tea Culture Lemon Grass Ginger loose Tea,1330
184,1418911,Tea Culture Lemon Mojito loose Tea,1350
185,1418912,TEA CULTURE LEMON VERBANA LOOSE TEA,1390
186,1365170,GREEN PEAS,99
187,1368626,CHILLI GR BHAVNAGARI,119
188,1418913,TEA CULTURE LOTUS LOOSE TEA,7100
189,1372550,GUAVA NB,129
193,1418914,TEA CULTURE MAHARAJA OOLONG LOOSE TEA,1750
195,1418915,TEA CULTURE MAKAIBARI LOOSE TEA,4810
197,1365315,SPROUTS HORSE GRAM 200G,49
198,1418916,Tea Culture Mango Mania Green loose Tea,1530
199,1418917,TEA CULTURE MAOFENG LOOSE TEA,4110
200,1365243,RADDISH WHITE 2 PC PK NB,45
203,1418918,TEA CULTURE MAOJIAN LOOSE TEA,2380
204,1365196,LEMON ITALIAN,999
205,1365264,SALAD RTE MINI,69
207,1365209,SALAD RTE WITH MICRO GREEN,119
208,1365206,SALAD RTE WITH SPINCACH,119
209,1365222,SALAD SWEET RTE,119
210,1418919,TEA CULTURE MARGARETS HOPE LOOSE TEA,4300
211,1365255,GOURD BITTER,119
212,1418920,TEA CULTURE MASALA CHAI CTC LOOSE TEA,3500
213,1418921,Tea Culture Masala Chai loose Tea,1390
214,1365154,SPINACH 200 G NB,55
215,1418922,TEA CULTURE MOKAIBARI EAST LOOSE TEA,2200
216,1365179,LADY FINGER,129
217,1418923,Tea Culture Morroccan Mint loose Tea,1340
218,1365159,LEMON,139
219,1365294,LEMON GRASS,349
220,1365208,LETTUCE ARUGULA OR ROQUETTE,799
226,1418924,Tea Culture Mt wui Oolong Tea loose Tea,3000
229,1418925,TEA CULTURE NAMRING LOOSE TEA,4380
248,1365197,SPRING ONION 1 PC,59
257,1418926,TEA CULTURE NILGIRI LOOSE TEA,1530
258,1418927,TEA CULTURE OOLONG TEA LOOSE,1360
260,1365172,FRENCH BEANS KASHMIRI,139
261,1418928,TEA CULTURE ORANGE BLOSSOM LOOSE TEA,1360
262,1418929,TEA CULTURE ORGANIC GREEN TEA KG,1200
266,1418930,TEA CULTURE PAI MUTAN LOOSE TEA,3060
268,1418931,TEA CULTURE PILOCHUN LOOSE TEA,3980
269,1418932,TEA CULTURE PUER TEA CAKE LOOSE TEA,2700
270,1418933,Tea Culture Puer Tea loose Tea,2590
